一階	いっかい
二階	にかい
階段	かいだん	stairs
廊下	ろうか	corridor; hallway
昇降口	しょうこうぐち	school entrance
校庭	こうてい	schoolyard
職員室	しょくいんしつ	school staffs room
図書室	としょしつ	library room
食堂	しょくどう	school cafeteria
化学	かがく	chemistry
化学室	化学室
体育館	たいいくかん	school gym
渡り廊下	わたりろうか	connecting corridor
温室	おんしつ	glasshouse
椎名	しいな
貪欲	どんよく
速度	そくど
流行	りゅうこう	trend
新鮮	しんせん
展開	てんかい
不良	ふりょう
優等生	ゆうとうせい
口説く	くどく
根強い	ねづよい
